index,name,x,y,demand
demand1,UTC Hotel,-7.002929933,110.4020447,114
demand2,Hotel LOGIN by Rainbow House,-7.002877971,110.3988246,46
demand3,Area Kos Putri Stonen Utara I,-7.005893252,110.3979222,38
demand4,SPBU Pertamina 44.501.22 Kelud,-7.007091197,110.3963106,145
demand5,Taman Sampangan,-7.008452522,110.3959725,94
demand6,Masjid Baitul Muttaqien,-7.008775441,110.3950921,109
demand7,Lapangan Mitra Sampangan,-7.007492892,110.3933342,42
demand8,Griya Loka Guesthouse,-7.009217204,110.3919497,18
demand9,Gereja Katolik St. Paulus Sampangan,-7.009985237,110.3912518,26
demand10,Cuci Ekspress Menoreh,-7.010772092,110.391779,9
demand11,GOR Badminton UNNES Pegandan,-7.013914463,110.3891654,14
demand12,SMP IT Insan Cendekia,-7.017140961,110.3887416,99
demand13,Pasar Sampangan,-7.017551181,110.3892849,75
demand14,D'alteria Kost,-7.018269818,110.38893,15
demand15,Wahyu Putra 2 Toys & Stationery,-7.019077097,110.3892634,36
