index,name,x,y,demand
demand1,UTC Hotel,-7.002929933,110.4020447,103
demand2,Hotel LOGIN by Rainbow House,-7.002877971,110.3988246,60
demand3,Area Kos Putri Stonen Utara I,-7.005893252,110.3979222,75
demand4,SPBU Pertamina 44.501.22 Kelud,-7.007091197,110.3963106,146
demand5,Taman Sampangan,-7.008452522,110.3959725,162
demand6,Masjid Baitul Muttaqien,-7.008775441,110.3950921,122
demand7,Lapangan Mitra Sampangan,-7.007492892,110.3933342,36
demand8,Griya Loka Guesthouse,-7.009217204,110.3919497,32
demand9,Gereja Katolik St. Paulus Sampangan,-7.009985237,110.3912518,46
demand10,Cuci Ekspress Menoreh,-7.010772092,110.391779,16
demand11,GOR Badminton UNNES Pegandan,-7.013914463,110.3891654,40
demand12,SMP IT Insan Cendekia,-7.017140961,110.3887416,67
demand13,Pasar Sampangan,-7.017551181,110.3892849,42
demand14,D'alteria Kost,-7.018269818,110.38893,32
demand15,Wahyu Putra 2 Toys & Stationery,-7.019077097,110.3892634,35
