index,name,x,y,demand
demand1,UTC Hotel,-7.002929933,110.4020447,105
demand2,Hotel LOGIN by Rainbow House,-7.002877971,110.3988246,62
demand3,Area Kos Putri Stonen Utara I,-7.005893252,110.3979222,71
demand4,SPBU Pertamina 44.501.22 Kelud,-7.007091197,110.3963106,135
demand5,Taman Sampangan,-7.008452522,110.3959725,170
demand6,Masjid Baitul Muttaqien,-7.008775441,110.3950921,110
demand7,Lapangan Mitra Sampangan,-7.007492892,110.3933342,30
demand8,Griya Loka Guesthouse,-7.009217204,110.3919497,23
demand9,Gereja Katolik St. Paulus Sampangan,-7.009985237,110.3912518,42
demand10,Cuci Ekspress Menoreh,-7.010772092,110.391779,15
demand11,GOR Badminton UNNES Pegandan,-7.013914463,110.3891654,35
demand12,SMP IT Insan Cendekia,-7.017140961,110.3887416,56
demand13,Pasar Sampangan,-7.017551181,110.3892849,40
demand14,D'alteria Kost,-7.018269818,110.38893,28
demand15,Wahyu Putra 2 Toys & Stationery,-7.019077097,110.3892634,45
